Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$145.54,-1.57,-1.067%,2523276463600.00,United States,1980,86540876,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$402.86,-2.59,-0.639%,190351350000.00,United States,1986,2643913,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$157.44,-1.30,-0.819%,82390734067.00,United States,,2326139,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$192.58,-4.49,-2.278%,41891376621.00,United States,,1342876,Technology,Computer Software: Prepackaged Software
AMD,Advanced Micro Devices Inc. Common Stock,$94.24,-0.88,-0.925%,153362875244.00,United States,,130994791,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$247.85,-6.72,-2.64%,21560501242.00,United States,1996,509929,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$37.37,-2.09,-5.297%,14154736546.00,United States,2021,3266847,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$534.95,-13.37,-2.438%,215371732874.00,Netherlands,1995,757435,Technology,Industrial Machinery/Components
ATVI,Activision Blizzard Inc. Common Stock,$78.00,0.26,0.334%,60986754816.00,United States,,3480582,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$582.67,-5.57,-0.947%,237893189324.00,United States,2009,1418911,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$166.30,0.55,0.332%,11077128253.00,United States,1994,282623,Technology,EDP Services
BIDU,Baidu Inc. ADS,$117.80,0.86,0.735%,40705850431.00,China,2005,2405164,Technology,Computer Software: Programming Data Processing
CDNS,Cadence Design Systems Inc. Common Stock,$139.38,-3.06,-2.148%,38435289420.00,United States,,1297846,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$169.17,-0.17,-0.10%,22857526352.00,United States,2013,724599,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$122.49,0.29,0.237%,15692630454.00,Israel,1996,902411,Technology,Computer Software: Prepackaged Software
COIN,Coinbase Global Inc. Class A Common Stock,$61.70,-6.17,-9.091%,16159230000.00,United States,,18625238,Technology,EDP Services
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$146.39,-9.90,-6.334%,33965211198.00,United States,2019,4113897,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$49.00,-0.56,-1.13%,203554232000.00,United States,1990,20249948,Technology,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$72.58,-0.80,-1.09%,37826797162.00,United States,1998,4429975,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$99.28,0.13,0.131%,12566855053.00,United States,1995,1019937,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$97.19,-11.67,-10.72%,30616539259.00,United States,2019,6178562,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,$74.49,-4.68,-5.911%,14890799797.00,United States,2018,3521978,Technology,Computer Software: Prepackaged Software
DOX,Amdocs Limited Ordinary Shares,$83.33,0.96,1.165%,10279088820.00,Guernsey,,856877,Technology,EDP Services
EA,Electronic Arts Inc. Common Stock,$127.39,2.45,1.961%,35824904721.00,United States,,2901870,Technology,Computer Software: Prepackaged Software
ENTG,Entegris Inc. Common Stock,$107.01,-2.23,-2.041%,14540848819.00,United States,2000,894207,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$7.84,0.19,2.484%,26138560000.00,Sweden,,8016654,Technology,Computer Software: Prepackaged Software
FB,Meta Platforms Inc. Class A Common Stock,$200.04,1.42,0.715%,541372930335.00,United States,2012,27086002,Technology,Internet and Information Services
FFIV,F5 Inc. Common Stock,$167.11,-1.46,-0.866%,10105479931.00,United States,1999,327573,Technology,EDP Services
FISV,Fiserv Inc. Common Stock,$96.25,0.08,0.083%,62215428756.00,United States,1986,3024917,Technology,EDP Services
GOOG,Alphabet Inc. Class C Capital Stock,$2295.85,-34.46,-1.479%,1511816942610.00,United States,2004,1163069,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2288.90,-32.11,-1.383%,1507240368465.00,United States,,1297774,Technology,Internet and Information Services
INTC,Intel Corporation Common Stock,$43.08,-0.52,-1.193%,176154120000.00,United States,,25052721,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$359.59,-12.17,-3.274%,101696537885.00,United States,1993,1554829,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$177.07,1.64,0.935%,12901640165.00,United States,1985,395394,Technology,Retail: Computer Software & Peripheral Equipment
LRCX,Lam Research Corporation Common Stock,$482.47,-9.45,-1.921%,66925839077.00,United States,1984,968850,Technology,Industrial Machinery/Components
MCHP,Microchip Technology Incorporated Common Stock,$65.93,-1.10,-1.641%,36656468763.00,United States,1993,4988537,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$252.00,-34.03,-11.897%,17026717932.00,United States,2017,1874001,Technology,Retail: Computer Software & Peripheral Equipment
MORN,Morningstar Inc. Common Stock,$238.13,-4.82,-1.984%,10175438016.00,United States,2005,167416,Technology,Advertising
MPWR,Monolithic Power Systems Inc. Common Stock,$417.00,-14.67,-3.398%,19450131000.00,United States,2004,355562,Technology,Semiconductors
MRVL,Marvell Technology Inc. Common Stock,$55.23,-2.34,-4.065%,46983762184.00,Bermuda,2000,9413931,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$261.50,0.38,0.146%,1955767164803.00,United States,1986,32504634,Technology,Computer Software: Prepackaged Software
MU,Micron Technology Inc. Common Stock,$70.47,-1.45,-2.016%,78691513413.00,United States,,13390513,Technology,Semiconductors
NICE,NICE Ltd American Depositary Shares,$195.79,-7.07,-3.485%,12420458472.00,Israel,,379747,Technology,Computer Manufacturing
NLOK,NortonLifeLock Inc. Common Stock,$23.93,-0.02,-0.084%,13923941077.00,United States,,7645608,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$71.50,0.29,0.407%,15911356604.00,United States,1995,1225199,Technology,Electronic Components
