Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$16.45,-0.12,-0.724%,10655118938.00,United States,,38495347,Transportation,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$172.39,-0.29,-0.168%,2988784042600.00,United States,1980,82419895,Technology,Computer Manufacturing
ABMD,ABIOMED Inc. Common Stock,$295.65,5.13,1.766%,13451332919.00,United States,,247843,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$155.56,5.99,4.005%,92775829529.00,United States,2020,4685873,Transportation,Other Consumer Services
ACGL,Arch Capital Group Ltd. Common Stock,$47.64,-0.15,-0.314%,18395411517.00,Bermuda,,1180034,Finance,Property-Casualty Insurers
ADBE,Adobe Inc. Common Stock,$513.54,2.71,0.531%,242236818000.00,United States,1986,2583398,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$161.03,-0.99,-0.611%,84593998112.00,United States,,5174412,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$206.25,1.12,0.546%,86634335906.00,United States,,2016361,Miscellaneous,Business Services
ADSK,Autodesk Inc. Common Stock,$241.24,3.48,1.464%,53066387117.00,United States,,1458382,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$89.17,-1.02,-1.131%,44263054747.00,United States,,3439553,Public Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$62.75,5.26,9.149%,17633097572.00,United States,2021,14552353,Technology,EDP Services
AKAM,Akamai Technologies Inc. Common Stock,$114.12,-0.46,-0.401%,18542208014.00,United States,1999,1441282,Miscellaneous,Business Services
ALGN,Align Technology Inc. Common Stock,$489.86,-13.45,-2.672%,38626964380.00,United States,2001,1471289,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$145.42,2.91,2.042%,17392403159.00,United States,2004,670018,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$135.57,-0.94,-0.689%,120385133328.00,United States,1972,8513262,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$123.60,3.52,2.931%,149260652238.00,United States,,86143397,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$222.11,-1.93,-0.861%,125106989493.00,United States,1983,3162027,Health Care,Biotechnology: Pharmaceutical Preparations
AMZN,Amazon.com Inc. Common Stock,$3152.79,375.88,13.536%,1598929944860.00,United States,1997,12659719,Consumer Services,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$326.79,1.71,0.526%,28513391531.00,United States,1996,470373,Technology,Computer Software: Prepackaged Software
APA,APA Corporation Common Stock,$34.49,-0.05,-0.145%,12529329193.00,United States,,10321578,Energy,Oil & Gas Production
APP,Applovin Corporation Class A Common Stock,$68.90,7.59,12.38%,25783826556.00,United States,2021,2067496,Technology,EDP Services
ARCC,Ares Capital Corporation Common Stock,$22.15,0.03,0.136%,10597754749.00,United States,2004,2301480,Finance,Finance Companies
ARGX,argenx SE American Depositary Shares,$289.86,19.06,7.038%,14932143987.00,Netherlands,2017,315467,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
